FULL_ADDRE,zon_new,full_zonin,PIN,MAPBLOCKLO,hood,ZIP_CODE,POINT_X,POINT_Y
174 49TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080F00150000000,80-F-150,Central Lawrenceville,15201,-79.958013,40.477632
174 51ST ST,RIV-MU,RIVERFRONT MIXED USE,0080G00114000000,80-G-114,Central Lawrenceville,15201,-79.956963,40.479064
174 A COTTON WAY,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00100000A00,80-P-100-A,Central Lawrenceville,15201,-79.960014,40.473075
174 B COTTON WAY,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00100000B00,80-P-100-B,Central Lawrenceville,15201,-79.959984,40.473054
174 C COTTON WAY,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00100000C00,80-P-100-C,Central Lawrenceville,15201,-79.959948,40.473028
174 D COTTON WAY,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00100000D00,80-P-100-D,Central Lawrenceville,15201,-79.959913,40.473001
174 E COTTON WAY,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00100000E00,80-P-100-E,Central Lawrenceville,15201,-79.959881,40.47298
174 HOME ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00228000000,80-P-228,Central Lawrenceville,15201,-79.959293,40.473961
174 LODI WAY,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049E00059000000,49-E-59,Lower Lawrenceville,15201,-79.965034,40.467901
175 36TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0048M00032000000,48-M-32,Lower Lawrenceville,15201,-79.966241,40.465929
175 37TH ST,UI,URBAN INDUSTRIAL,0049J00007000000,49-J-7,Lower Lawrenceville,15201,-79.966068,40.467014
175 38TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049E00063000000,49-E-63,Lower Lawrenceville,15201,-79.965197,40.46772
175 41ST ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049A00130000000,49-A-130,Central Lawrenceville,15201,-79.962067,40.470219
175 42ND ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049B00102000000,49-B-102,Central Lawrenceville,15201,-79.9613,40.470837
175 43RD HALF ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049B00066000000,49-B-66,Central Lawrenceville,15201,-79.960828,40.471509
175 44TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00023000000,80-P-23,Central Lawrenceville,15201,-79.960471,40.472163
175 45TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00099000000,80-P-99,Central Lawrenceville,15201,-79.959991,40.472822
175 46TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00214000000,80-P-214,Central Lawrenceville,15201,-79.959479,40.473493
175 48TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080K00192000000,80-K-192,Central Lawrenceville,15201,-79.958382,40.476546
175 ALMOND WAY,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049E00212000000,49-E-212,Central Lawrenceville,15201,-79.962498,40.469795
175 BANNER WAY,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049B00119000B00,49-B-119-B,Central Lawrenceville,15201,-79.961748,40.470522
176 1/2 39TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049E00098000000,49-E-98,Lower Lawrenceville,15201,-79.964666,40.468076
176 1/2 45TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00081000000,80-P-81,Central Lawrenceville,15201,-79.960128,40.47258
176 1/2 LOCARNA WAY,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00081000A00,80-P-81-A,Central Lawrenceville,15201,-79.960294,40.472453
176 38TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049E00025000000,49-E-25,Lower Lawrenceville,15201,-79.965259,40.467459
176 39TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049E00100000000,49-E-100,Lower Lawrenceville,15201,-79.964704,40.468124
176 41ST ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049B00225000000,49-B-225,Central Lawrenceville,15201,-79.962191,40.469966
176 41ST ST APT 1,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049B00225000000,49-B-225,Central Lawrenceville,15201,-79.962191,40.469966
176 41ST ST APT 2,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049B00225000000,49-B-225,Central Lawrenceville,15201,-79.962191,40.469966
176 42ND ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049B00121000000,49-B-121,Central Lawrenceville,15201,-79.961488,40.470651
176 43RD ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049B00087000000,49-B-87,Central Lawrenceville,15201,-79.961228,40.471062
176 44TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049B00013000000,49-B-13,Central Lawrenceville,15201,-79.960736,40.471967
176 45TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00080000000,80-P-80,Central Lawrenceville,15201,-79.960166,40.472607
176 46TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00162000000,80-P-162,Central Lawrenceville,15201,-79.959739,40.473282
176 47TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080K00242000B00,80-K-242-B,Central Lawrenceville,15201,-79.959381,40.474794
176 49TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080F00149000000,80-F-149,Central Lawrenceville,15201,-79.957969,40.4776
176 HOME ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00227000000,80-P-227,Central Lawrenceville,15201,-79.959231,40.47393
176 LODI WAY,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049E00060000000,49-E-60,Lower Lawrenceville,15201,-79.964998,40.467872
177 1/2 HOME ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00305000000,80-P-305,Central Lawrenceville,15201,-79.958932,40.474119
177 36TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0048M00033000000,48-M-33,Lower Lawrenceville,15201,-79.966202,40.465915
177 38TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049E00064000000,49-E-64,Lower Lawrenceville,15201,-79.965139,40.467686
177 40TH ST,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0049E00201000000,49-E-201,Central Lawrenceville,15201,-79.962752,40.469466
177 41ST ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049B00141000000,49-B-141,Central Lawrenceville,15201,-79.962,40.470172
177 42ND ST,LNC,LOCAL NEIGHBORHOOD COMMERCIAL,0049B00101000000,49-B-101,Central Lawrenceville,15201,-79.961205,40.470777
177 43RD HALF ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049B00066000000,49-B-66,Central Lawrenceville,15201,-79.960797,40.471488
177 43RD ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049B00061000000,49-B-61,Central Lawrenceville,15201,-79.961062,40.471298
177 45TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00098000000,80-P-98,Central Lawrenceville,15201,-79.959947,40.472792
177 46TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00213000000,80-P-213,Central Lawrenceville,15201,-79.95943,40.473458
177 48TH ST,LNC,LOCAL NEIGHBORHOOD COMMERCIAL,0080K00211000000,80-K-211,Central Lawrenceville,15201,-79.9583,40.476404
177 A 43RD HALF ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049B00028000000,49-B-28,Central Lawrenceville,15201,-79.960898,40.471755
177 ALMOND WAY,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049E00213000000,49-E-213,Central Lawrenceville,15201,-79.96247,40.469769
177 BANNER WAY,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049B00132000000,49-B-132,Central Lawrenceville,15201,-79.961649,40.470489
177 HOME ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00304000000,80-P-304,Central Lawrenceville,15201,-79.958973,40.474144
178 38TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049E00026000000,49-E-26,Lower Lawrenceville,15201,-79.965222,40.467429
178 42ND ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049B00120000000,49-B-120,Central Lawrenceville,15201,-79.961465,40.470595
178 43RD HALF ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049B00028000100,49-B-28-1,Central Lawrenceville,15201,-79.960876,40.471736
178 43RD ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049B00088000000,49-B-88,Central Lawrenceville,15201,-79.961173,40.471
178 43RD ST APT 1,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049B00088000000,49-B-88,Central Lawrenceville,15201,-79.961173,40.471
178 43RD ST APT 2,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049B00088000000,49-B-88,Central Lawrenceville,15201,-79.961173,40.471
178 43RD ST APT 3,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049B00088000000,49-B-88,Central Lawrenceville,15201,-79.961173,40.471
178 44TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049B00014000000,49-B-14,Central Lawrenceville,15201,-79.96069,40.471913
178 45TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00082000000,80-P-82,Central Lawrenceville,15201,-79.960092,40.472535
178 46TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00163000000,80-P-163,Central Lawrenceville,15201,-79.959821,40.473131
178 49TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080F00151000000,80-F-151,Central Lawrenceville,15201,-79.957925,40.477568
178 HOME ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00226000000,80-P-226,Central Lawrenceville,15201,-79.959184,40.473891
179 1/2 43RD HALF ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049B00060000000,49-B-60,Central Lawrenceville,15201,-79.96073,40.471447
179 1/2 43RD ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049B00060000000,49-B-60,Central Lawrenceville,15201,-79.961014,40.471259
179 36TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0048M00034000000,48-M-34,Lower Lawrenceville,15201,-79.966169,40.465897
179 38TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049E00066000000,49-E-66,Lower Lawrenceville,15201,-79.965089,40.467651
179 43RD HALF ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049B00060000000,49-B-60,Central Lawrenceville,15201,-79.960758,40.471467
179 43RD ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049B00060000000,49-B-60,Central Lawrenceville,15201,-79.960976,40.471237
179 45TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00097000000,80-P-97,Central Lawrenceville,15201,-79.959891,40.472758
179 46TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00212000000,80-P-212,Central Lawrenceville,15201,-79.959383,40.473418
179 48TH ST,LNC,LOCAL NEIGHBORHOOD COMMERCIAL,0080K00211000000,80-K-211,Central Lawrenceville,15201,-79.95827,40.476385
179 51ST ST,RIV-MU,RIVERFRONT MIXED USE,0080G00114000000,80-G-114,Central Lawrenceville,15201,-79.95716,40.478828
179 ALMOND WAY,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049E00214000000,49-E-214,Central Lawrenceville,15201,-79.962446,40.469753
179 HOME ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00306000000,80-P-306,Central Lawrenceville,15201,-79.958897,40.474092
179 LODI WAY,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049E00065000000,49-E-65,Lower Lawrenceville,15201,-79.964903,40.467788
180 1/2 44TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049B00015000000,49-B-15,Central Lawrenceville,15201,-79.960593,40.471873
180 1/2 46TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00165000000,80-P-165,Central Lawrenceville,15201,-79.959577,40.473196
180 38TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049E00029000000,49-E-29,Lower Lawrenceville,15201,-79.965148,40.467369
180 39TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049E00096000000,49-E-96,Lower Lawrenceville,15201,-79.964595,40.468024
180 41ST ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049A00205000000,49-A-205,Central Lawrenceville,15201,-79.962127,40.469934
180 44TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049B00015000A00,49-B-15-A,Central Lawrenceville,15201,-79.960625,40.471894
180 45TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00083000000,80-P-83,Central Lawrenceville,15201,-79.960049,40.472496
180 46TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00164000000,80-P-164,Central Lawrenceville,15201,-79.959611,40.473234
180 47TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00303000000,80-P-303,Central Lawrenceville,15201,-79.958825,40.474337
180 49TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080F00152000000,80-F-152,Central Lawrenceville,15201,-79.957888,40.477528
180 51ST ST,RIV-MU,RIVERFRONT MIXED USE,0080G00114000000,80-G-114,Central Lawrenceville,15201,-79.956917,40.479028
180 HOME ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00225000000,80-P-225,Central Lawrenceville,15201,-79.959126,40.47386
181 38TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049E00067000000,49-E-67,Lower Lawrenceville,15201,-79.965059,40.467629
181 39TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049E00096000A00,49-E-96-A,Lower Lawrenceville,15201,-79.964561,40.467996
181 42ND ST,LNC,LOCAL NEIGHBORHOOD COMMERCIAL,0049B00092000000,49-B-92,Central Lawrenceville,15201,-79.96111,40.470698
181 43RD ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049B00059000000,49-B-59,Central Lawrenceville,15201,-79.96081,40.471307
181 44TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049B00004000000,49-B-4,Central Lawrenceville,15201,-79.96028,40.472007
181 45TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00096000000,80-P-96,Central Lawrenceville,15201,-79.95985,40.472723
181 46TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00211000000,80-P-211,Central Lawrenceville,15201,-79.959311,40.473388
181 47TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00295000000,80-P-295,Central Lawrenceville,15201,-79.958746,40.474329
181 51ST ST,RIV-MU,RIVERFRONT MIXED USE,0080G00114000000,80-G-114,Central Lawrenceville,15201,-79.957117,40.478797
181 BANNER WAY,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049B00130000A00,49-B-130-A,Central Lawrenceville,15201,-79.961608,40.470418
181 HOME ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00307000000,80-P-307,Central Lawrenceville,15201,-79.958867,40.474057
181 LODI WAY,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049E00065000A00,49-E-65-A,Lower Lawrenceville,15201,-79.96488,40.467759
182 1/2 39TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049E00094000000,49-E-94,Lower Lawrenceville,15201,-79.964492,40.467944
182 1/2 45TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00084000A00,80-P-84-A,Central Lawrenceville,15201,-79.959964,40.472431
182 34TH ST,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0049S00119000000,49-S-119,Lower Lawrenceville,15201,-79.968031,40.462882
182 36TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0048M00040000000,48-M-40,Lower Lawrenceville,15201,-79.966162,40.465571
182 39TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049E00095000000,49-E-95,Lower Lawrenceville,15201,-79.964538,40.467964
182 41ST ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049A00206000000,49-A-206,Central Lawrenceville,15201,-79.962075,40.469894
182 42ND ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049B00122000000,49-B-122,Central Lawrenceville,15201,-79.961399,40.470541
182 44TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049B00016000000,49-B-16,Central Lawrenceville,15201,-79.960547,40.471833
182 45TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00084000000,80-P-84,Central Lawrenceville,15201,-79.959989,40.472458
182 46TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00166000000,80-P-166,Central Lawrenceville,15201,-79.95954,40.473169
182 47TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00296000000,80-P-296,Central Lawrenceville,15201,-79.958709,40.474301
182 49TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080G00065000000,80-G-65,Central Lawrenceville,15201,-79.957693,40.477407
182 51ST ST,RIV-MU,RIVERFRONT MIXED USE,0080G00114000000,80-G-114,Central Lawrenceville,15201,-79.956874,40.478997
182 HOME ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00224000000,80-P-224,Central Lawrenceville,15201,-79.959069,40.473827
183 34TH ST,UI,URBAN INDUSTRIAL,0048S00193000000,48-S-193,Lower Lawrenceville,15201,-79.967882,40.463043
183 35TH ST,UI,URBAN INDUSTRIAL,0048S00165000000,48-S-165,Lower Lawrenceville,15201,-79.966921,40.464379
183 38TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049E00069000000,49-E-69,Lower Lawrenceville,15201,-79.965021,40.467599
183 43RD ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049B00058000000,49-B-58,Central Lawrenceville,15201,-79.960765,40.471215
183 44TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049B00003000000,49-B-3,Central Lawrenceville,15201,-79.960224,40.471985
183 45TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00095000000,80-P-95,Central Lawrenceville,15201,-79.959807,40.472672
183 46TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00210000000,80-P-210,Central Lawrenceville,15201,-79.959112,40.473394
183 47TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00296000A00,80-P-296-A,Central Lawrenceville,15201,-79.958672,40.474275
183 ALMOND WAY,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049E00215000000,49-E-215,Central Lawrenceville,15201,-79.962353,40.469681
183 BANNER WAY,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049B00130000C00,49-B-130-C,Central Lawrenceville,15201,-79.96158,40.470397
183 HOME ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00308000000,80-P-308,Central Lawrenceville,15201,-79.958814,40.474019
183 LODI WAY,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049E00068000000,49-E-68,Lower Lawrenceville,15201,-79.964837,40.467729
184 1/2 43RD HALF ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049B00024000000,49-B-24,Central Lawrenceville,15201,-79.960686,40.471594
184 34TH ST,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0048S00122000B00,48-S-122-B,Lower Lawrenceville,15201,-79.967988,40.462865
184 36TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0048M00041000000,48-M-41,Lower Lawrenceville,15201,-79.966112,40.465561
184 39TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049E00093000000,49-E-93,Lower Lawrenceville,15201,-79.964439,40.467907
184 41ST ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049A00207000000,49-A-207,Central Lawrenceville,15201,-79.962008,40.469864
184 43RD HALF ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049B00025000000,49-B-25,Central Lawrenceville,15201,-79.960712,40.471622
184 44TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049B00017000000,49-B-17,Central Lawrenceville,15201,-79.960463,40.4718
184 45TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00085000000,80-P-85,Central Lawrenceville,15201,-79.959904,40.472402
184 46TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00167000000,80-P-167,Central Lawrenceville,15201,-79.959513,40.473117
184 47TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00297000000,80-P-297,Central Lawrenceville,15201,-79.95864,40.474252
184 49TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080G00064000000,80-G-64,Central Lawrenceville,15201,-79.95765,40.477382
184 HOME ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00223000000,80-P-223,Central Lawrenceville,15201,-79.959031,40.473792
185 1/2 34TH ST,UI,URBAN INDUSTRIAL,0048S00194000000,48-S-194,Lower Lawrenceville,15201,-79.967843,40.463027
185 1/2 42ND ST,LNC,LOCAL NEIGHBORHOOD COMMERCIAL,0049B00097000000,49-B-97,Central Lawrenceville,15201,-79.961028,40.470615
185 1/2 HOME ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00311000000,80-P-311,Central Lawrenceville,15201,-79.958715,40.473917
185 35TH ST,UI,URBAN INDUSTRIAL,0048S00164000000,48-S-164,Lower Lawrenceville,15201,-79.966863,40.464342
185 39TH ST,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0049E00128000000,49-E-128,Lower Lawrenceville,15201,-79.964196,40.468195
185 39TH ST APT 101,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0049E00128000000,49-E-128,Lower Lawrenceville,15201,-79.964196,40.468195
185 39TH ST APT 102,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0049E00128000000,49-E-128,Lower Lawrenceville,15201,-79.964196,40.468195
185 39TH ST APT 103,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0049E00128000000,49-E-128,Lower Lawrenceville,15201,-79.964196,40.468195
185 39TH ST APT 104,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0049E00128000000,49-E-128,Lower Lawrenceville,15201,-79.964196,40.468195
185 39TH ST APT 105,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0049E00128000000,49-E-128,Lower Lawrenceville,15201,-79.964196,40.468195
185 39TH ST APT 106,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0049E00128000000,49-E-128,Lower Lawrenceville,15201,-79.964196,40.468195
185 39TH ST APT 107,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0049E00128000000,49-E-128,Lower Lawrenceville,15201,-79.964196,40.468195
185 39TH ST APT 108,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0049E00128000000,49-E-128,Lower Lawrenceville,15201,-79.964196,40.468195
185 39TH ST APT 109,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0049E00128000000,49-E-128,Lower Lawrenceville,15201,-79.964196,40.468195
185 39TH ST APT 110,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0049E00128000000,49-E-128,Lower Lawrenceville,15201,-79.964196,40.468195
